[16.09.13, 07:55:20] ‎Felix hat den Betreff zu “Familie” geändert.
[09.12.13, 10:12:37] ‎Felix wurde hinzugefügt.
[09.12.13, 10:12:37] ‎Du wurdest hinzugefügt.
[09.12.13, 10:12:38] ‎Papa wurde hinzugefügt.
[09.12.13, 10:12:38] ‎Vera wurde hinzugefügt.
[09.12.13, 10:12:38] ‎Mama wurde hinzugefügt.
[09.12.13, 10:12:38] ‎‎Du wurde hinzugefügt.
[10.12.13, 12:30:56] Papa: Eva ix ha christmascards kauft für USA... Inkl porto, xajs vodinere lijte nä
‎[10.12.13, 13:31:29] Felix: ‎Bild weggelassen
[10.12.13, 13:32:25] Felix: Da schlaaf ich
[10.12.13, 14:07:46] Holzmano: Ich find de micky mouse geil...!
[10.12.13, 14:08:27] Felix: Hahaha gell.. Ez hani gas 20min pfuised mitme grindwehmedi
[10.12.13, 14:08:58] Holzmano: Gueti Wahl vom Bett btw...immer schön ade Wand... :)
[10.12.13, 14:10:24] Felix: Gell
[10.12.13, 14:31:28] Papa: Es fäldbett wiesim büechli staht. Gib sorg mitem xopf... Hettj gejzabig öppis söle näh. Gaht's?
[10.12.13, 14:31:54] Papa: Pfus am abig gnueg
[10.12.13, 15:09:09] Felix: Jaja sgaht!
[10.12.13, 17:54:43] Mama: Hei wie gats dir? Bis zwäg u hesch scho müese zeige was druf hesch?
[10.12.13, 18:22:56] Felix: Nei efach blüttle miteme arzt und psychotest...easy
[10.12.13, 19:07:19] Felix: 👍
[10.12.13, 22:31:38] Mama: Bhüet di gott
[11.12.13, 11:03:41] Vera: Es giit kei möglichkeit die prüefige nöchsht wuche ds verschiebe
[11.12.13, 12:32:15] Felix: Hey peeeps ich bin na bis morn da...weg de fahrerprüefig
[11.12.13, 13:41:52] Felix: Ghöört?
[11.12.13, 13:47:55] Holzmano: Ja... :)
[11.12.13, 14:15:37] Felix: Haha
[11.12.13, 16:32:27] Papa: Was? Hänz beid auge zuetruckt?
[11.12.13, 16:33:10] Felix: Nei.. Wemmer de prüefigstermin hett isch me iffiziell zueglah
[11.12.13, 16:33:45] Papa: Alüte?
‎[11.12.13, 20:34:27] Vera: ‎Bild weggelassen
[11.12.13, 20:34:41] Vera: Sooo herzig 😄😄
[11.12.13, 22:42:17] Papa: Ihr 3 sind di bejde lyumf
[11.12.13, 20:37:08] ‎Vera hat das Gruppenbild geändert.
[12.12.13, 06:40:00] Mama: Lyall
[12.12.13, 07:30:40] Holzmano: Haha wo hesch das her?
