[09.12.13, 06:16:16] Holzmano: Noii whatsapp nummere
‎[11.12.13, 14:00:06] Vera: ‎Bild weggelassen
[23.12.13, 20:29:58] Vera: Froii mi uu mega uf dich ❤️
[23.12.13, 20:33:50] Holzmano: Ich mich au mischgi!
[13.02.14, 11:51:48] Holzmano: Was??
[13.02.14, 11:52:00] Holzmano: Wiesos southside?
[13.02.14, 13:03:08] Vera: Wisooseli nöd?
[13.02.14, 16:53:12] Holzmano: Weisch du was das isch?
[13.02.14, 17:49:32] Vera: Ehmm ia? Susch würi nöd frögee..
[13.02.14, 17:49:39] Vera: Demfall ener nid
[13.02.14, 18:26:42] Holzmano: Ja logisch...lug grundsätzlich findi festivals eppis vom geilschte wos überhaupt git! Und ich bi  au scho a einige gsi und ich mues der eifach säge: SSouthside hanis schlächtischte vo allne gfunde( es isch riiisegross, es hett unendlich vill Lüt fascht scho zvill! Und die Tütsche hend es bitz eine ade Waffle...ganz ehrlich!) Gang as gurte, as frauefeld, as wasauimmer aber fang chli aa...mit es paar kolleginne und kollege anes geils Festival ide Schwiiz wo met Gwüssi lüt wiedergseht wills zwar scho vill lüt hett aber au ned zvill! Und eis wott im notfall hei chentsch wenn eppis wär...!

Was meinnsch?
[17.02.14, 21:29:36] Vera: Guguseli Lenz:) und hesches guet? Schön gfriered und so? Nei daas musi gar nid fröge- mit dir fägeds eifach immer:) hei ich wünsch der morn en supermega geiile taag und heb der sorg!
[17.02.14, 22:48:56] Vera: Phüeti gott:) 😘
‎[17.02.14, 22:51:27] Vera: ‎Bild weggelassen
[17.02.14, 22:51:44] Vera: Lige grad idim näscht:)
[18.02.14, 09:22:51] Holzmano: Haha...kuhl mis näscht gäll!! 
Danke vill mal! Bisch de hammer...und du wirsch und bisch au scho e geniali, tolli Frau!
[18.02.14, 16:02:49] Vera: Merci😘
‎[19.02.14, 11:54:55] Vera: ‎Bild weggelassen
[19.02.14, 11:54:58] Vera: Mega herzig
[19.02.14, 11:55:33] Vera: Weisch das isch ds meitli wo ire brüeder vor 2 jahr verlore het . De isch unterere sanddüne verstickr
[19.02.14, 12:00:37] Holzmano: Und wer hett das wem gschickt?
[19.02.14, 12:42:20] Vera: Si mir
[19.02.14, 12:49:49] Holzmano: Ja dasch herzig! Seischere en gruess zrugg!
[08.03.14, 11:16:55] Vera: Lenz du musch doch nid denke dasich den nüt wird mit dir machee!:) hadi doch so gern! Und ich wirds megaa gnüsse mit dir lenz- dasmuschmr glaube! Bisch de allerbescht löv iuu 😘
[08.03.14, 12:01:29] Holzmano: Das meinich scho nöd... 😀!

Ly2
[14.03.14, 18:07:57] Vera: Heii dörfich eh cigarillo vo diir
[14.03.14, 19:09:21] Holzmano: Sicher...
[19.03.14, 15:48:33] Vera: Hoii duu;) lueg wer ich alles gsehn am touch the air festival 💪💃
‎[19.03.14, 15:48:41] Vera: ‎Bild weggelassen
[19.03.14, 15:49:10] Vera: Am meiste froii ich mich uf de leduc 🙈🙆
[19.03.14, 16:02:20] Holzmano: Das tönt doch guet!
Ich persönlich hans lieber wennd dActs nid aaaalzugross sind!
[19.03.14, 16:04:02] Vera: Ia schoo aber die sind glch toll:)
[19.03.14, 16:09:36] Holzmano: Das hett nüt mitenand ztue! 😜
[19.03.14, 16:09:43] Holzmano: Was machsch?
[19.03.14, 21:49:50] Vera: Bin ez gad im Jugendalpha gssi:) und duu?
[20.03.14, 01:08:59] Holzmano: Haha ich bin scho wider uuf :)
[20.03.14, 11:03:53] Vera: Hahaha:)
[26.03.14, 18:37:11] Holzmano: Hey mischgi wie gaats?
[26.03.14, 18:37:39] Vera: salühü 👋 tol dasdi meldisch
[26.03.14, 18:37:55] Vera: Guet bin eifach chli unterdruck vode schuel
[26.03.14, 18:38:01] Holzmano: Ich bin chli schlächt, hä?...
[26.03.14, 18:38:08] Holzmano: Ehrli? Warum?
[26.03.14, 18:38:32] Vera: Hä? Was bin chli schlächt?
[26.03.14, 18:38:40] Holzmano: Im schriibe...
[26.03.14, 18:39:14] Vera: Nenei:) froi mi drum jedesmal wennd wider mal chli schribsch
[26.03.14, 18:39:26] Holzmano: Ich probiere wider meh ...
[26.03.14, 18:39:25] Vera: Hm ia weg bio physik und englisch
[26.03.14, 18:40:01] Holzmano: Aso chum etz...schuel...mischgi das isch alles halb so wild wies der etzt schiint!
[26.03.14, 18:40:29] Vera: Ia aber ich wet drum nid so tüfi ahfangsnote haa
[26.03.14, 18:40:46] Vera: Will sush bisch am endi vom semester voll am kriise schiebe
[26.03.14, 18:40:52] Holzmano: Aha ok...
[26.03.14, 18:41:04] Vera: Aber han bis ez eich recht gueti
[26.03.14, 18:41:11] Holzmano: Gsesch...
[26.03.14, 18:41:16] Vera: Han ih franz en 5.7 gschosse
[26.03.14, 18:41:22] Holzmano: Hei wow!!!
[26.03.14, 18:41:29] Vera: Gell 🙈🙆
[26.03.14, 18:41:34] Holzmano: Kuul
[26.03.14, 18:41:59] Vera: Und dir gahts wiee so?
[26.03.14, 18:42:16] Holzmano: Guet...merssi!
[26.03.14, 18:42:31] Vera: Was machsch grad?
[26.03.14, 18:43:08] Holzmano: En film luege...
[26.03.14, 18:43:19] Vera: Was füreinee?
[26.03.14, 18:43:29] Vera: Störi di gad?
[26.03.14, 18:50:11] Holzmano: Nei nei gar nöd...!
[26.03.14, 18:50:23] Vera: Okei:)
[26.03.14, 18:52:38] Holzmano: Es isch eine mitem steve martin und de queen latifah...
[26.03.14, 18:54:16] Vera: Ouu die hani gern
[26.03.14, 18:54:27] Holzmano: Haha si isch kuul ja...
[26.03.14, 19:23:51] Holzmano: Was machsch so ide freiziit?! Verzell chli?
[26.03.14, 22:26:41] Vera: Ia ich mach sportmässig nixdilaus:) ide schuel laufts. Und am abig gahni halt no recht vill in uusgang..;)
[26.03.14, 22:26:59] Vera: Und organisier mich mit lüt zum öpis mache..
[26.03.14, 22:27:43] Vera: Aber drum ischs ebe au no biz schwer ds kombiniere kolege und schuel..
[26.03.14, 22:29:27] Vera: Und duu?:)
[30.03.14, 22:29:36] Holzmano: Biscj no wach?
[31.03.14, 07:59:45] Vera: Jez wider:)
[02.04.14, 19:32:15] Vera: Kennsch du de nöd vo igndwoo- de typ wo am ahfang chunt?
‎[02.04.14, 19:32:19] Vera: ‎Video weggelassen
[02.04.14, 20:21:42] Holzmano: Ja de isch i mim jahrgang gsi...Elias heisst de glaub...!
[02.04.14, 20:22:46] Vera: Ha! Hanis doch gwüsst:)
[02.04.14, 20:23:09] Holzmano: Akute Schnurepflutteri...
[30.04.14, 15:40:08] Vera: Heeei:)
[30.04.14, 15:40:16] Vera: Hesches guett?
[30.04.14, 15:40:26] Vera: Duu ich han schnell eh frag:)
[30.04.14, 15:40:54] Vera: Du bisch doch mal mit es paar kollege vo dir uf lausanne soanen strand go zelte nid,
[30.04.14, 15:41:01] Vera: Wo ish das gsi?
[30.04.14, 17:35:41] Holzmano: Ou mann das isch erschtens mega lang her und zweitens en recht schlechte zältplatz gsi...wennds wüki wottsch usefinde chanis in erfahrig bringe..!
[30.04.14, 17:48:07] Vera: Nenei denn nid
[30.04.14, 17:48:24] Vera: Aber hesch susch paar tipps für zeltplätz ah see:)
[30.04.14, 17:54:02] Holzmano: Ich bin nur eimal gsi...und zwar dete :)

Gang chli ufs internet go sueche...
[30.04.14, 17:58:35] Vera: Bini ebe scho stundelang:) bringt nöd wükli vill.. Aber ich versuechs wiiter
[30.04.14, 17:59:52] Holzmano: Haha sorry chan der ned wükli helfe....
[30.04.14, 18:03:29] Vera: 😘scccho easy
[06.05.14, 08:26:19] Vera: Salutti:) gahts guet?
[06.05.14, 08:36:40] Holzmano: Ja klar! Dir?
[06.05.14, 09:16:18] Vera: Na klaroo:) bisch chli am poarty mochee?
[06.05.14, 09:17:14] Holzmano: Nei wieso? Wegem foti? Dasch letschte oktober gsi...und mir sind so toll dass Baccardi ois jetzt no uufegstellt hett :)
‎[12.05.14, 19:44:07] Vera: ‎Bild weggelassen
[12.05.14, 19:44:13] Vera: Froii mi uuh mega uf dich:)
[12.05.14, 19:56:45] Holzmano: Ooo so lieb !!! Ich mich au uf dich..
[02.06.14, 14:51:15] Holzmano: Los mischgi mir hend etzt en familiekalender und es sid alli drin aber dich chani iwie ned dezuefüege...chasch diistellige mitem müms vergliiche?
Ly
[02.06.14, 19:10:56] Vera: Geniaaal:) dankeschön
[02.06.14, 19:10:59] Vera: 😘😘😘
[02.06.14, 19:11:07] Vera: Aber was isches füres app
[02.07.14, 20:49:11] Holzmano: Wenn isch de subway fertig? Chume ebe glaub nacher no abe...
[15.08.14, 14:28:16] Vera: Heei lenz😘 chunsc mit mir morn ad musigfestwuche.. Oder irgendwenn mal:)
[15.08.14, 14:29:11] Holzmano: Klar...weiss ned genau weg morn...aber uf jede fall mal wenns guet gaat!
[15.08.14, 14:32:22] Vera: 😁froi mi
[21.08.14, 20:46:34] Holzmano:  ‎Standort: https://maps.google.com/?q=47.499073,8.729095
[21.08.14, 20:46:54] Holzmano: Wo bisch etzt grad?
‎[18.11.14, 18:47:00] Vera: ‎Bild weggelassen
[19.11.14, 19:24:16] Vera: Hmm?:)
[19.11.14, 19:24:34] Vera: Weisch ich müssts drum wüsse dasis bald mal cha abhole
[19.11.14, 19:24:58] Holzmano: Das weisch du! Das hanich ned das passwort!!!
‎[06.02.15, 19:46:59] Vera: ‎Bild weggelassen
‎[22.03.15, 14:38:24] Vera: ‎Audio weggelassen
‎[22.03.15, 14:46:10] Holzmano: ‎Audio weggelassen
[28.05.15, 14:43:38] Holzmano: Wenn chömeder?!
[06.06.15, 14:21:41] Holzmano: Dmamma MUES e stund im bett bliibe!!!
[06.06.15, 14:21:54] Vera: Jaaaa
[12.06.15, 21:18:51] Vera: Hesch du no en autoschlüssel? Wenn ja muschen ois bringe😘😉
[12.06.15, 21:31:08] Holzmano: Nei han keine...
[24.06.15, 09:12:14] Vera: Ah nei ich hansi am 3🙈
[24.06.15, 09:50:45] Holzmano: Aso dwött...:)
[03.07.15, 15:43:07] Holzmano: Dwött was machsch hüt nami...?!
[03.07.15, 18:07:49] Vera: wiso?
‎[15.07.15, 18:46:20] Holzmano: ‎Bild weggelassen
[11.08.15, 22:05:36] Holzmano: Wo bisch du?
[25.08.15, 13:24:16] Vera: Hei chasch du mir hüt abig vektorgeometrie erkläre? 💕
[25.08.15, 13:24:57] Holzmano: Ich han es date mit de Doris hüt leider ... :)
[26.09.15, 16:20:20] Vera: Chunsch du nöchschtens emal hei?
‎[27.09.15, 15:16:20] Vera: ‎Video weggelassen
‎[27.09.15, 15:26:11] Vera: ‎Video weggelassen
[13.10.15, 19:06:12] Vera: chunsch du hei zum znacht?:)
[13.10.15, 19:06:31] Holzmano: Nei
[14.10.15, 23:01:36] Holzmano: Ähhh dwött online....! 😁
[14.10.15, 23:01:49] Vera: ääh büed online?!
[14.10.15, 23:01:56] Holzmano: Nöd ds guete...
[14.10.15, 23:02:02] Holzmano: Sft is nejt
[14.10.15, 23:02:12] Vera: sft?
[14.10.15, 23:02:18] Holzmano: Sofort
[14.10.15, 23:02:28] Vera: bin ja scho oranga!
[14.10.15, 23:02:41] Holzmano: Du bisch oranga?
[14.10.15, 23:02:55] Vera: nei du..
[14.10.15, 23:03:00] Holzmano: Nei du
[14.10.15, 23:03:23] Holzmano: Was du sagst bist du selbst wenn du nicht die klappe hälst...!
[14.10.15, 23:03:37] Vera: bisch den du de gschiid?
[14.10.15, 23:03:54] Holzmano: Nei de näätt...
[14.10.15, 23:04:02] Vera: und de felix isch d rose - bitte uf englisch uusspreche
[14.10.15, 23:04:13] Holzmano: Wieson?
[14.10.15, 23:04:31] Vera: ischmer eifach so zuegfloge cho..
[14.10.15, 23:04:42] Holzmano: Ned ds maje
[14.10.15, 23:04:54] Vera: doch genau ds maje
[14.10.15, 23:05:02] Holzmano: Nei nöso
[14.10.15, 23:05:25] Vera: ssss globi
[14.10.15, 23:05:37] Holzmano: Ciä....
[14.10.15, 23:05:43] Holzmano: Wieso globi?
[14.10.15, 23:07:19] Vera: staht für gurgel lobt ohne beide infektionen
[14.10.15, 23:07:32] Vera: nei kei ahnig eifach so
[14.10.15, 23:08:10] Vera: s erstemal wo du mir freiwillig ohni verpflichtige schribsch 👍🏼
[14.10.15, 23:08:39] Holzmano: Schinli...das stimmt doch nöd!
[14.10.15, 23:08:51] Vera: almeini scho
[14.10.15, 23:12:13] Holzmano: E de tuus...
[14.10.15, 23:12:45] Vera: a de grüüs
[14.10.15, 23:13:01] Holzmano: Ididelot
[14.10.15, 23:14:02] Vera: neiss seit d geiss
[14.10.15, 23:14:21] Holzmano: Und sitzt uf de steiss
[14.10.15, 23:14:38] Vera: herr watt
